fleet,rego,model,vin,bodywork,livery,depot
190,4752AO,Scania L94UA,YS4L6X20001839296,"Volgren ""CR224L""",PTV,Pakenham
191,4761AO,Volvo B7R,YV3R6B5151A002228,"Volgren ""SC221""",,Pakenham
192,4762AO,Volvo B7R,YV3R6B5131A002244,"Volgren ""SC221""",,Pakenham
193,4760AO,Volvo B7R,YV3R6B5141A002625,"Volgren ""SC221""",,Pakenham
194,4482AO,Volvo B7R,YV3R6B5161A002626,"Volgren ""SC221""",,Pakenham
,,,,,,
196,3872AO,Mercedes Benz O405NH,WEB61241821099647,"Volgren ""CR221L""",PTV,Pakenham
197,3873AO,Mercedes Benz O405NH,WEB61241821099648,"Volgren ""CR221L""",PTV,Pakenham
198,3874AO,Mercedes Benz O405NH,WEB61241821099649,"Volgren ""CR221L""",PTV,Pakenham
199,3233AO,Volvo B7RLE,YV3R6B5182A003990,"Volgren ""CR221L""",PTV,Pakenham
200,4556AO,Volvo B7RLE,YV3R6B51X2A003991,"Volgren ""CR221L""",PTV,Pakenham
201,4717AO,Volvo B12BLE,YV3R8F8143A013222,"Volgren ""CR228L""",PTV,Dandenong
202,4719AO,Volvo B12BLE,YV3R8F8194A013458,"Volgren ""CR228L""",PTV,Dandenong
203,4465AO,Volvo B12BLE,YV3R8F8104A015390,"Volgren ""CR228L""",PTV,Dandenong
204,4741AO,Volvo B12BLE,YV3R8F8124A015391,"Volgren ""CR228L""",PTV,Dandenong
205,5503AO,Volvo B12BLE,YV3R8F8114A015561,"Volgren ""CR228L""",PTV,Dandenong
206,5505AO,Volvo B12BLE,YV3R8F8285A101041,"Volgren ""CR228L""",PTV,Dandenong
207,5528AO,Volvo B12BLE,YV3R8F8225A101052,"Volgren ""CR228L""",PTV,Dandenong
208,4748AO,Volvo B12BLE,YV3R8F8114A015382,"Volgren ""CR228L""",PTV,Dandenong
209,4673AO,Volvo B7RLE,YV3R6G7153A005532,"Volgren ""CR228L""",PTV,Seaford
210,5937AO,Volvo B7RLE,YV3R6G7183A005721,"Volgren ""CR228L""",PTV,Seaford
211,4690AO,Volvo B7R,YV3R6G8265A101325,"Volgren ""SC222""",,Pakenham
212,6054AO,Volvo B12B,YV3R8G1144A014890,"Volgren ""C222TX""",,Hastings
213,6069AO,Volvo B12B,YV3R8G1184A014889,"Volgren ""C222TX""",,Seaford
214,5936AO,Mercedes Benz O500LE,WEB63422021000263,"Volgren Perth ""CR228L""",PTV,Pakenham
215,4756AO,Mercedes Benz O500LE,WEB63422021000299,"Volgren Perth ""CR228L""",PTV,Pakenham
216,5938AO,Mercedes Benz O500LE,WEB63422021000261,"Volgren Perth ""CR228L""",PTV,Seaford
217,5994AO,Mercedes Benz O500LE,WEB63422021000297,"Volgren Perth ""CR228L""",PTV,Seaford
218,6017AO,Mercedes Benz O500LE,WEB63422021000303,"Volgren Perth ""CR228L""",PTV,Seaford
219,5981AO,Volvo B7R,YV3R6G8246A108677,"Volgren Malaysia ""SC222""",,Dandenong
220,6029AO,Mercedes Benz O500LE,WEB63422021000304,"Volgren Perth ""CR228L""",PTV,Dandenong
221,6033AO,Mercedes Benz O500LE,WEB63422021000305,"Volgren Perth ""CR228L""",PTV,Pakenham
222,6016AO,Volvo B7R,YV3R6G8206A108675,"Volgren Malaysia ""SC222""",,Hastings
223,6018AO,Volvo B7R,YV3R6G8226A108676,"Volgren Malaysia ""SC222""",,Seaford
224,6049AO,Mercedes Benz O500LE,WEB63422021000310,"Volgren Perth ""CR228L""",PTV,Pakenham
