fleet,rego,model,vin,bodywork,livery,depot
884,5626AO,Scania L94UB,YS2L4X20001849826,"Custom Coaches ""CB60 C-Max""",PTV,Oakleigh
885,5627AO,Scania L94UB,YS2L4X20001849828,"Custom Coaches ""CB60 C-Max""",PTV,Knoxfield
886,5850AO,Scania L94UB,YS2L4X20001849589,"Custom Coaches ""CB60 C-Max""",PTV,Knoxfield
887,5851AO,Scania L94UB,YS2L4X20001849617,"Custom Coaches ""CB60 C-Max""",PTV,Knoxfield
888,5852AO,Scania L94UB,YS2L4X20001849630,"Custom Coaches ""CB60 C-Max""",PTV,Knoxfield
889,5964AO,Scania L94UB,YS2L4X20001851670,"Custom Coaches ""CB60 C-Max""",PTV,Croydon
890,5966AO,Scania L94UB,YS2L4X20001851684,"Custom Coaches ""CB60 C-Max""",PTV,Croydon
891,5967AO,Scania L94UB,YS2L4X20001851686,"Custom Coaches ""CB60 C-Max""",PTV,Knoxfield
892,5968AO,Scania L94UB,YS2L4X20001851696,"Custom Coaches ""CB60 C-Max""",PTV,Knoxfield
893,5970AO,Scania L94UB,YS2L4X20001851732,"Custom Coaches ""CB60 C-Max""",PTV,Knoxfield
894,5973AO,Scania L94UB,YS2L4X20001851718,"Custom Coaches ""CB60 C-Max""",PTV,Knoxfield
895,5972AO,Scania L94UB,YS2L4X20001851722,"Custom Coaches ""CB60 C-Max""",PTV,Knoxfield
896,5963AO,Scania L94UB,YS2L4X20001851306,"Custom Coaches ""CB60 C-Max""",PTV,Knoxfield
897,5960AO,Scania L94UB,YS2L4X20001851002,"Custom Coaches ""CB60 C-Max""",PTV,Knoxfield
898,5961AO,Scania L94UB,YS2L4X20001851430,"Custom Coaches ""CB60 C-Max""",PTV,Knoxfield
899,5962AO,Scania L94UB,YS2L4X20001850993,"Custom Coaches ""CB60 C-Max""",PTV,Knoxfield
900,5965AO,Scania L94UB,YS2L4X20001851674,"Custom Coaches ""CB60 C-Max""",PTV,Knoxfield
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
926,6910AO,Scania K230UB,YS2K4X20001859667,"Custom Coaches ""CB60 Evo II""",PTV,Croydon
927,6911AO,Scania K230UB,YS2K4X20001859777,"Custom Coaches ""CB60 Evo II""",PTV,Croydon
928,6912AO,Scania K230UB,YS2K4X20001859762,"Custom Coaches ""CB60 Evo II""",PTV,Croydon
929,6913AO,Scania K230UB,YS2K4X20001859736,"Custom Coaches ""CB60 Evo II""",PTV,Croydon
930,6914AO,Scania K230UB,YS2K4X20001859748,"Custom Coaches ""CB60 Evo II""",PTV,Croydon
931,6915AO,Scania K230UB,YS2K4X20001860322,"Custom Coaches ""CB60 Evo II""",PTV,Croydon
932,6916AO,Scania K230UB,YS2K4X20001860301,"Custom Coaches ""CB60 Evo II""",PTV,Croydon
933,7728AO,Scania K230UB,YS2K4X20001865167,"Custom Coaches ""CB60 Evo II""",PTV,Croydon
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
962,8047AO,Scania K230UB,YS2K4X20001868906,"Custom Coaches ""CB60 Evo II""",PTV,Croydon
963,7310AO,Scania K230UB,YS2K4X20001870574,"Custom Coaches ""CB60 Evo II""",PTV,Croydon
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
983,8265AO,Scania K280UB,YS2K4X20001875014,"Volgren ""CR228L""",PTV,Knoxfield
984,8266AO,Scania K280UB,YS2K4X20001875072,"Volgren ""CR228L""",PTV,Knoxfield
985,8267AO,Scania K280UB,YS2K4X20001875074,"Volgren ""CR228L""",PTV,Croydon
986,8268AO,Scania K280UB,YS2K4X20001875099,"Volgren ""CR228L""",PTV,Croydon
987,8269AO,Scania K280UB,YS2K4X20001875344,"Volgren ""CR228L""",PTV,Lilydale
988,8270AO,Scania K280UB,YS2K4X20001875353,"Volgren ""CR228L""",PTV,Lilydale
989,8271AO,Scania K280UB,YS2K4X20001875362,"Volgren ""CR228L""",PTV,West Heidelberg
990,8272AO,Scania K280UB,YS2K4X20001875899,"Volgren ""CR228L""",PTV,West Heidelberg
991,8273AO,Scania K280UB,YS2K4X20001875897,"Volgren ""CR228L""",PTV,Monbulk
992,8274AO,Scania K280UB,YS2K4X20001876029,"Volgren ""CR228L""",PTV,Croydon
993,8426AO,Scania K230UB,YS2K4X20001868656,"Custom Coaches ""CB80""",PTV,Croydon
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1000,9105AO,Scania K280UB,YS2K4X20001878596,"Volgren ""CR228L""",PTV,Croydon
1001,9106AO,Scania K280UB,YS2K4X20001877141,"Volgren ""CR228L""",PTV,Knoxfield
1002,9107AO,Scania K280UB,YS2K4X20001877139,"Volgren ""CR228L""",PTV,Knoxfield
1003,9108AO,Scania K280UB,YS2K4X20001879483,"Volgren ""CR228L""",PTV,Knoxfield
1004,9109AO,Scania K280UB,YS2K4X20001879491,"Volgren ""CR228L""",PTV,Knoxfield
1005,9110AO,Scania K280UB,YS2K4X20001879532,"Volgren ""CR228L""",PTV,Knoxfield
1006,9111AO,Scania K280UB,YS2K4X20001879889,"Volgren ""CR228L""",PTV,Knoxfield
1007,9112AO,Scania K280UB,YS2K4X20001879895,"Volgren ""CR228L""",PTV,Knoxfield
1008,9113AO,Scania K280UB,YS2K4X20001879528,"Volgren ""CR228L""",PTV,Knoxfield
1009,9114AO,Scania K280UB,YS2K4X20001879933,"Volgren ""CR228L""",PTV,Knoxfield
1010,9115AO,Scania K280UB,YS2K4X20001879903,"Volgren ""CR228L""",PTV,Knoxfield
1011,9116AO,Scania K280UB,YS2K4X20001879934,"Volgren ""CR228L""",PTV,West Heidelberg
1012,9117AO,Scania K280UB,YS2K4X20001880068,"Volgren ""CR228L""",PTV,West Heidelberg
1013,9118AO,Scania K280UB,YS2K4X20001880029,"Volgren ""CR228L""",PTV,Croydon
1014,9119AO,Scania K280UB,YS2K4X20001880119,"Volgren ""CR228L""",PTV,West Heidelberg
1015,9120AO,Scania K280UB,YS2K4X20001880089,"Volgren ""CR228L""",PTV,West Heidelberg
1016,9121AO,Scania K280UB,YS2K4X20001880099,"Volgren ""CR228L""",PTV,West Heidelberg
1017,9122AO,Scania K280UB,YS2K4X20001880264,"Volgren ""CR228L""",PTV,West Heidelberg
1018,9414AO,Volvo B7RLE,YV3R6R625DA159603,"Volgren ""CR228L""",PTV,Dandenong
1019,9413AO,Volvo B7RLE,YV3R6R627DA159604,"Volgren ""CR228L""",PTV,Dandenong
1020,9415AO,Volvo B7RLE,YV3R6R629DA159605,"Volgren ""CR228L""",PTV,Dandenong
1021,9462AO,Volvo B7RLE,YV3R6R628CA153115,"Volgren ""Optimus""",PTV,Moorabbin
1022,9466AO,Volvo B7RLE,YV3R6R62XDA160584,"Volgren ""CR228L""",PTV,Seaford
1023,9591AO,MAN 18.290,WMAA91ZZ4DC018087,"Volgren ""SC222""",,Monbulk
1024,9590AO,MAN 18.290,WMAA91ZZ7DC018083,"Volgren ""SC222""",,Monbulk
1025,9480AO,Volvo B7RLE,YV3R6R62XDA160827,"Volgren ""CR228L""",PTV,Lilydale
1026,9587AO,Volvo B7RLE,YV3R6R62XDA161735,"Volgren ""CR228L""",PTV,Lilydale
1027,9589AO,Volvo B7RLE,YV3R6R623DA161799,"Volgren ""CR228L""",PTV,Lilydale
1028,BS00AQ,Volvo B7RLE,YV3R6R62XCA157067,"Volgren ""Optimus""",PTV,Lilydale
1029,9619AO,Volvo B7RLE,YV3R6R626DA161800,"Volgren ""CR228L""",PTV,Dandenong
1030,9620AO,Volvo B7RLE,YV3R6R624DA161844,"Volgren ""CR228L""",PTV,Dandenong
1031,9664AO,Volvo B7RLE,YV3R6R621DA162028,"Volgren ""CR228L""",PTV,Dandenong
1032,9665AO,Volvo B7RLE,YV3R6R629DA162231,"Volgren ""CR228L""",PTV,Dandenong
1033,5397AO,Volvo B7RLE,YV3R6R620DA162442,"Volgren ""CR228L""",PTV,Lilydale
1034,5396AO,Volvo B7RLE,YV3R6R622DA162572,"Volgren ""CR228L""",PTV,Croydon
1035,6079AO,Volvo B7RLE,YV3R6R623DA163021,"Volgren ""CR228L""",PTV,Knoxfield
1036,6464AO,Volvo B7RLE,YV3R6R625EA163197,"Volgren ""CR228L""",PTV,Knoxfield
1037,8460AO,Volvo B7RLE,YV3R6R627EA163198,"Volgren ""CR228L""",PTV,Dandenong
1038,BS00AR,Volvo B7RLE,YV3R6R624EA163594,"Volgren ""CR228L""",PTV,Dandenong
1039,BS00AS,Volvo B7RLE,YV3R6R622DA163124,"Volgren ""CR228L""",PTV,Dandenong
1040,9695AO,Volvo B7RLE,YV3R6R620EA163480,"Volgren ""CR228L""",PTV,Pakenham
1041,9419AO,King Long,LA6R1FSE2BB201203,"King Long ""6102AU""",,Moorabbin
1042,9454AO,King Long,LA6R1FSE4CB102397,"King Long ""6102AU""",,Moorabbin
1043,BS00BK,Volvo B7RLE,YV3R6R62XEA163521,"Volgren ""CR228L""",PTV,Croydon
1044,BS00BL,Volvo B7RLE,YV3R6R621EA163522,"Volgren ""CR228L""",PTV,Knoxfield
1045,BS00HG,Volvo B7RLE,YV3R6R623EA163778,"Volgren ""Optimus""",PTV,Knoxfield
1046,BS00HP,Volvo B7RLE,YV3R6R623EA163943,"Volgren ""Optimus""",PTV,Croydon
1047,BS00NT,Volvo B7RLE,YV3R6R627EA163332,"Volgren ""Optimus""",PTV,Croydon
1048,BS00HQ,Volvo B7RLE,YV3R6R625EA163779,"Volgren ""Optimus""",PTV,Lilydale
1049,BS00NS,Volvo B7RLE,YV3R6R627EA164576,"Volgren ""Optimus""",PTV,Knoxfield
1050,BS00HI,Volvo B7RLE,YV3R6R629EA164577,"Volgren ""Optimus""",PTV,Lilydale
1051,BS00NU,Volvo B7RLE,YV3R6R628EA164604,"Volgren ""Optimus""",PTV,Pakenham
1052,BS00NV,Volvo B7RLE,YV3R6R620EA164631,"Volgren ""Optimus""",PTV,Seaford
1053,BS00HS,Volvo B7RLE,YV3R6R623EA164574,"Volgren ""Optimus""",PTV,Dandenong
1054,BS00HT,Volvo B7RLE,YV3R6R625EA164575,"Volgren ""Optimus""",PTV,Dandenong
1055,BS00SM,Scania K310UB,YS2K4X20001887816,"Volgren ""Optimus""",PTV,Knoxfield
1056,BS00SH,Scania K310UB,YS2K4X20001887954,"Volgren ""Optimus""",PTV,Knoxfield
1057,BS00PF,Volvo B7RLE,YV3R6R624EA165586,"Volgren ""Optimus""",PTV,Lilydale
1058,7097AO,Volvo B7RLE,YV3R6R621EA168784,"Volgren ""Optimus""",PTV,Rosebud
1059,7096AO,Volvo B7RLE,YV3R6R621EA168798,"Volgren ""Optimus""",PTV,Rosebud
1060,7119AO,Volvo B7RLE,YV3R6R623EA168799,"Volgren ""Optimus""",PTV,Dandenong
1061,7120AO,Volvo B7RLE,YV3R6R621EA168963,"Volgren ""Optimus""",PTV,Dandenong
1062,BS00SU,Volvo B7RLE,YV3R6R622EA166669,"Volgren ""Optimus""",PTV,Dandenong
1063,BS00SP,Volvo B7RLE,YV3R6R629EA166670,"Volgren ""Optimus""",PTV,Dandenong
1064,BS00SO,Volvo B7RLE,YV3R6R627EA167915,"Volgren ""Optimus""",PTV,Dandenong
1065,6616AO,Volvo B7RLE,YV3R6R629EA167916,"Volgren ""Optimus""",PTV,Dandenong
1066,6615AO,Volvo B7RLE,YV3R6R624EA168195,"Volgren ""Optimus""",PTV,Dandenong
1067,7082AO,Volvo B7RLE,YV3R6R627EA168742,"Volgren ""Optimus""",PTV,Dandenong
1068,BS00PE,Volvo B7RLE,YV3R6R620EA166444,"Volgren ""Optimus""",PTV,Moorabbin
1069,BS00SC,Volvo B7RLE,YV3R6R620EA166671,"Volgren ""Optimus""",PTV,Seaford
1070,BS00SB,Volvo B7RLE,YV3R6R624EA166527,"Volgren ""Optimus""",PTV,Seaford
1071,BS00SD,Volvo B7RLE,YV3R6R620EA166668,"Volgren ""Optimus""",PTV,Moorabbin
,,,,,,
,,,,,,
1074,2813AO,Irisbus Metro 17.215,6F2BARB002DJ00417,"Volgren ""CR221L""",PTV,West Heidelberg
1075,2814AO,Iveco Metro,6F2BARB009DS00066,"Volgren ""CR228L""",PTV,West Heidelberg
1076,2802AO,Iveco Metro 17.215,6F2BARB003DK00691,"Volgren ""CR228L""",PTV,West Heidelberg
1077,8116AO,Iveco Metro,6F2BARB00ADT00382,"Volgren ""CR228L""",PTV,West Heidelberg
,,,,,,
1079,6028AO,Iveco Metro 17.215,6F2BARB004DL00977,"Volgren ""CR228L""",PTV,West Heidelberg
1080,7329AO,Iveco Metro C260,6F2BARB008DR00449,"Volgren ""CR228L""",PTV,West Heidelberg
1081,2803AO,Irisbus Metro 17.215,6F2BARB003DK00301,"Volgren ""CR221L""",PTV,West Heidelberg
1082,7330AO,Iveco Metro C260,6F2BARB008DR00419,"Volgren ""CR228L""",PTV,West Heidelberg
1083,2804AO,Irisbus Metro 17.215,6F2BARB002DJ00536,"Volgren ""CR221L""",PTV,West Heidelberg
1084,2805AO,Dennis Dart SLF,SFD276AR1XGW30320,"Volgren ""CR221L""",PTV,Oakleigh
1085,7954AO,Iveco Metro,6F2BARB009DS00261,"Volgren ""CR228L""",PTV,West Heidelberg
1086,2807AO,Irisbus Metro 17.215,6F2BARB003DK00359,"Volgren ""CR221L""",PTV,West Heidelberg
1087,2808AO,Iveco Metro 17.215,6F2BARB003DK00714,"Volgren ""CR228L""",PTV,West Heidelberg
,,,,,,
1089,3601AO,Scania K230UB,YS2K4X20001861774,"Volgren ""CR228L""",PTV,Monbulk
1090,3602AO,Scania K230UB,YS2K4X20001861749,"Volgren ""CR228L""",PTV,Croydon
1091,3603AO,Scania K270IB,YS2K4X20001864429,"Volgren ""SC222""",,Monbulk
1092,7860AO,Scania K230UB,YS2K4X20001867885,"Volgren ""CR228L""",PTV,Monbulk
,,,,,,
1094,7861AO,Scania K230UB,YS2K4X20001867993,"Volgren ""CR228L""",PTV,Croydon
1095,7872AO,Scania K230UB,YS2K4X20001868009,"Volgren ""CR228L""",PTV,Monbulk
1096,3611AO,Scania K270IB,YS2K4X20001864385,"Volgren ""SC222""",,Monbulk
1097,3612AO,Scania L94UB,YS4L4X20001842469,"Volgren ""CR221L""",PTV,Monbulk
1098,3620AO,Scania L94UB,YS4L4X20001842639,"Volgren ""CR221L""",PTV,Monbulk
1099,3622AO,Scania L94IB,YS4L4X20001835259,"NCBC ""Primero""",,Monbulk
,,,,,,
1101,3629AO,Scania K93CR,YS4KC4X2B01824689,"Volgren ""SC221""",U.S. Bus Lines,Dandenong
1102,3630AO,MAN 18.250,LMHA640227KX00081,Hi-Com,,Monbulk
1103,3631AO,MAN 18.250,LMHA640229KX00083,Hi-Com,,Monbulk
1104,3634AO,Scania L113CRL,YS4LC4X2B01830753,"Volgren ""CR221L""",PTV,Rail
1105,3635AO,Scania L113CRL,YS4LC4X2B01831392,"Volgren ""CR221L""",PTV,Rail
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1112,3669AO,Scania L94UB,YS2L4X20001851289,"Volgren ""CR228L""",PTV,Croydon
1113,6072AO,Scania K94IB,YS2K4X20001852070,"Volgren ""SC222""",,Monbulk
1114,6088AO,Toyota Hiace Commuter,JTFSS22P000017378,Arakawa,,Dandenong
1115,5391AO,Mercedes Benz O500RF,WEB63420021000010,Express,,Monbulk
1116,3656AO,Mitsubishi Rosa,JLFBE649J0BD00642,Mitsubishi,,Knoxfield
1117,2689AO,Scania K93CR,YS4KC4X2B01830598,"Volgren ""SC221""",B,Knoxfield
1118,5266AO,Mercedes Benz OH1725,9BM3821852B301973,"Mills-Tui ""Orbit""",B,Monbulk
1119,5265AO,Mercedes Benz OH1725,9BM3821852B301816,"Mills-Tui ""Orbit""",B,Knoxfield
1120,5264AO,Mercedes Benz OH1725,9BM3821852B302123,"Mills-Tui ""Orbit""",B,Monbulk
1121,2687AO,Scania K93CR,YS4KC4X2B01824690,"PMCA ""160""",B,Dandenong
1122,2660AO,Mercedes Benz OH1630,9BM382081VB120540,"ABM ""Starliner""",B,Croydon
,,,,,,
,,,,,,
1125,7307AO,Scania K280IB,YS2K4X20001870844,"Higer ""A30""",B,Pakenham
1126,3664AO,Mercedes Benz O500RF-3,WEB63420121000110,Coach Design,U.S. Bus Lines,Moorabbin
1127,2691AO,Scania L94IB,YS4L4X20001832156,"Custom Coaches ""510""",,Dandenong
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1141,6656AO,MAN 16.220,7ABA800615AD01227,Designline,PTV,Knoxfield
1142,6657AO,MAN 16.220,7ABA800616AD01228,Designline,PTV,Knoxfield
1143,6852AO,MAN 16.240,7ABA800571AD01235,Designline,PTV,Knoxfield
1144,6853AO,MAN 16.240,7ABA800572AD01236,Designline,PTV,Knoxfield
1145,7294AO,MAN 16.240,7ABA800819AD01428,Designline,PTV,Knoxfield
1146,7295AO,MAN 16.240,7ABA800678AD01432,Designline,PTV,Knoxfield
1147,7296AO,MAN 16.240,7ABA800679AD01433,Designline,PTV,Knoxfield
1148,7297AO,MAN 16.240,7ABA800680AD01434,Designline,PTV,Knoxfield
1149,7298AO,MAN 16.240,7ABA800781AD01435,Designline,PTV,Knoxfield
1150,7299AO,MAN 16.240,7ABA800758AD01436,Designline,PTV,Knoxfield
1151,7300AO,MAN 16.240,7ABA800759AD01437,Designline,PTV,Knoxfield
1152,7301AO,MAN 16.240,7ABA800760AD01438,Designline,PTV,Knoxfield
1153,7302AO,MAN 16.240,7ABA800801AD01429,Designline,PTV,Knoxfield
1154,7303AO,MAN 16.240,7ABA800802AD01430,Designline,PTV,Knoxfield
1155,7304AO,MAN 16.240,7ABA800820AD01431,Designline,PTV,Knoxfield
1156,2522AO,Scania L113CRL,YS4LC4X2B01826079,"Volgren ""CR221L""",,Rail
1157,2539AO,Scania L113CRL,YS4LC4X2B01827105,"Volgren ""CR221L""",Ventura Blue Stripes,Rail
,,,,,,
1159,2546AO,Scania L113CRL,YS4LC4X2B01827767,"Volgren ""CR221L""",Ventura Blue Stripes,Rail
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1164,2513AO,Scania L113CRL,YS4LC4X2B01830087,"Volgren ""CR221L""",Ventura Blue Stripes,Rail
1165,2681AO,Scania L113CRL,YS4LC4X2B01829704,"Volgren ""CR221L""",Ventura Blue Stripes,Rail
,,,,,,
1167,2683AO,Scania L113CRL,YS4LC4X2B01831393,"Volgren ""CR221L""",PTV,Rail
1168,2684AO,Scania L113CRL,YS4LC4X2B01831397,"Volgren ""CR221L""",PTV,Rail
1169,2508AO,Scania L94UB,YS4L4X20001834551,NCBC,PTV,Rail
1170,2535AO,Scania L94UB,YS4L4X20001835536,NCBC,PTV,Rail
1171,2514AO,Scania L94UB,YS4L4X20001834777,NCBC,PTV,Rail
1172,2518AO,Scania L94UB,YS4L4X20001835058,NCBC,PTV,Rail
1173,2506AO,Scania L94UB,YS4L4X20001833155,"NCBC ""Buddina""",PTV,Rail
1174,2652AO,Scania L94UB,YS4L4X20001833154,"NCBC ""Buddina""",PTV,Rail
1175,2667AO,Scania L94UB,YS4L4X20001833049,"NCBC ""Buddina""",PTV,Knoxfield
1176,2668AO,Scania L94UB,YS4L4X20001833050,"NCBC ""Buddina""",PTV,Knoxfield
1177,2523AO,Scania L94UB,YS4L4X20001836193,Custom Coaches,PTV,Rail
1178,2540AO,Scania L94UB,YS4L4X20001836639,Custom Coaches,PTV,Rail
1179,2542AO,Scania L94UB,YS4L4X20001836199,Custom Coaches,PTV,Rail
1180,2563AO,Scania L94UB,YS4L4X20001836195,"Custom Coaches ""CB60""",PTV,Croydon
1181,2632AO,Scania L94UB - Ethanol,YS4L4X20001837879,"Custom Coaches ""CB60""",PTV,Oakleigh
1182,2645AO,Scania L94UB,YS4L4X20001836641,"Custom Coaches ""CB60""",PTV,Croydon
1183,2646AO,Scania L94UB - Ethanol,YS4L4X20001837888,"Custom Coaches ""CB60""",PTV,Oakleigh
1184,2673AO,Scania L94UB,YS4L4X20001839386,"Custom Coaches ""CB60""",PTV,Knoxfield
1185,8260AO,Scania K280UB,YS2K4X20001874991,"Volgren ""CR228L""",PTV,Croydon
1186,8261AO,Scania K280UB,YS2K4X20001875113,"Volgren ""CR228L""",PTV,Croydon
1187,0546AO,Scania K94IB,YS2K4X20001845052,"Volgren ""SC222""",,Monbulk
1188,2566AO,Scania L94UB,YS4L4X20001839262,"Custom Coaches ""CB60""",PTV,Knoxfield
,,,,,,
1190,2554AO,Scania L94UB,YS4L4X20001839231,"Custom Coaches ""CB60""",PTV,Knoxfield
1191,BS03GX,Scania L94UB,YS4L4X20001839267,"Custom Coaches ""CB60""",PTV,Knoxfield
1192,2626AO,Scania L94UB,YS4L4X20001839222,"Custom Coaches ""CB60""",PTV,Knoxfield
1193,2627AO,Scania L94UB,YS4L4X20001839750,"Custom Coaches ""CB60""",PTV,Knoxfield
1194,2628AO,Scania L94UB,YS4L4X20001839758,"Custom Coaches ""CB60""",PTV,Knoxfield
1195,2624AO,Scania L94UB,YS4L4X20001839733,"Custom Coaches ""CB60""",PTV,Knoxfield
1196,2603AO,Scania L94UB - Ethanol,YS4L4X20001839556,"Custom Coaches ""CB60""",PTV,Oakleigh
1197,3894AO,Scania L94UB,YS4L4X20001840794,"NCBC ""Downtown City Bus""",PTV,Knoxfield
1198,3234AO,Scania L94UB,YS4L4X20001842955,"NCBC ""Downtown City Bus""",PTV,Knoxfield
1199,3235AO,Scania L94UB,YS4L4X20001842966,"NCBC ""Downtown City Bus""",PTV,Knoxfield
1200,3261AO,Scania L94UB,YS4L4X20001842968,"NCBC ""Downtown City Bus""",PTV,Knoxfield
1201,0117AO,Scania L94UB,YS4L4X20001842793,"NCBC ""Downtown City Bus""",PTV,Knoxfield
1202,0151AO,Scania L94UB,YS4L4X20001842946,"NCBC ""Downtown City Bus""",PTV,Knoxfield
1203,0159AO,Scania L94UB,YS4L4X20001842957,"NCBC ""Downtown City Bus""",PTV,Croydon
1204,0169AO,Scania L94UB,YS4L4X20001842948,"NCBC ""Downtown City Bus""",PTV,Croydon
1205,0109AO,Scania L94UB,YS4L4X20001842788,"NCBC ""Downtown City Bus""",PTV,Croydon
1206,0110AO,Scania L94UB,YS4L4X20001842802,"NCBC ""Downtown City Bus""",PTV,Croydon
1207,2984AO,Scania L94UB,YS2L4X20001844453,"NCBC ""Downtown City Bus""",PTV,Knoxfield
1208,3756AO,Scania L94UB,YS2L4X20001844476,"NCBC ""Downtown City Bus""",PTV,Knoxfield
1209,3776AO,Scania L94UB,YS2L4X20001844484,"NCBC ""Downtown City Bus""",PTV,Knoxfield
1210,5040AO,Scania L94UB,YS2L4X20001844500,"NCBC ""Downtown City Bus""",PTV,Knoxfield
1211,2985AO,Scania L94UB,YS2L4X20001844463,"NCBC ""Downtown City Bus""",PTV,Knoxfield
1212,5044AO,Scania L94UB,YS2L4X20001844547,"NCBC ""Downtown City Bus""",PTV,Knoxfield
1213,8262AO,Scania K280UB,YS2K4X20001875087,"Volgren ""CR228L""",PTV,Knoxfield
1214,8263AO,Scania K280UB,YS2K4X20001875116,"Volgren ""CR228L""",PTV,Knoxfield
1215,8264AO,Scania K280UB,YS2K4X20001874985,"Volgren ""CR228L""",PTV,Knoxfield
,,,,,,
,,,,,,
1218,2686AO,Austral Denning,6F9R1JL60SD001017,"Austral Denning ""Highlander""",,Knoxfield
1219,8643AO,Fuso Rosa,JLFBE64DJ0RH10388,Fuso,,Seaford
1220,BS00ON,MAN 18.290,WMAA91ZZXEC018712,"Volgren ""Endura""",,Seaford
1221,BS00OO,MAN 18.290,WMAA91ZZ3EC018714,"Volgren ""Endura""",,Dandenong
1222,BS00OP,MAN 18.290,WMAA91ZZ7EC018716,"Volgren ""Endura""",,Dandenong
1223,6632AO,Hino FD240,JHDFD7JLMXXX10858,P&D,,Dandenong
1224,7095AO,MAN 18.290,WMAA91ZZXEC018824,"Volgren ""Endura""",,Seaford
1225,BS00SQ,Hino FD240,JHDFD7JLMXXX10860,P&D,,Dandenong
1226,6631AO,Hino FD240,JHDFD7JLMXXX10856,P&D,,Dandenong
1227,BS00SK,MAN 18.290,WMAA91ZZ0EC018718,"Volgren ""Endura""",,Hastings
1228,BS00SL,MAN 18.290,WMAA91ZZ9EC018720,"Volgren ""Endura""",,Hastings
1229,BS00SJ,MAN 18.290,WMAA91ZZ2EC018817,"Volgren ""Endura""",,Hastings
1230,7089AO,Hino FD240,JHDFD7JLMXXX10914,P&D,,Dandenong
,,,,,,
,,,,,,
,,,,,,
1234,BS01GE,MAN 19.290,WMARR8ZZ7FC020110,"Volgren ""Endura""",,Pakenham
1235,BS01GG,MAN 19.290,WMARR8ZZ7FC020124,"Volgren ""Endura""",,Pakenham
1236,BS01GF,MAN 19.290,WMARR8ZZ2FC020113,"Volgren ""Endura""",,Rosebud
1237,BS01MG,Scania K310UB,YS2K4X20001890823,"Volgren ""Optimus""",PTV,Oakleigh
1238,BS01MH,Scania K310UB,YS2K4X20001890835,"Volgren ""Optimus""",PTV,Oakleigh
1239,BS01MM,Scania K310UB,YS2K4X20001894839,"Volgren ""Optimus""",PTV,Oakleigh
1240,BS01MN,Scania K310UB,YS2K4X20001894863,"Volgren ""Optimus""",PTV,Oakleigh
1241,BS01MO,Scania K310UB,YS2K4X20001895227,"Volgren ""Optimus""",PTV,Oakleigh
1242,BS01MP,Scania K310UB,YS2K4X20001895243,"Volgren ""Optimus""",PTV,Oakleigh
1243,BS01MQ,Scania K310UB,YS2K4X20001895023,"Volgren ""Optimus""",PTV,Knoxfield
1244,BS01MR,Scania K310UB,YS2K4X20001895030,"Volgren ""Optimus""",PTV,Knoxfield
1245,BS01MS,Scania K310UB,YS2K4X20001895032,"Volgren ""Optimus""",PTV,Knoxfield
1246,BS01MT,Scania K310UB,YS2K4X20001895041,"Volgren ""Optimus""",PTV,Knoxfield
1247,BS01MU,Scania K310UB,YS2K4X20001895036,"Volgren ""Optimus""",PTV,Knoxfield
1248,BS01MV,Scania K310UB,YS2K4X20001895535,"Volgren ""Optimus""",PTV,Knoxfield
1249,BS01MI,Scania K310UB,YS2K4X20001894689,"Volgren ""Optimus""",PTV,Oakleigh
1250,BS01MJ,Scania K310UB,YS2K4X20001894677,"Volgren ""Optimus""",PTV,Oakleigh
1251,BS01MK,Scania K310UB,YS2K4X20001894766,"Volgren ""Optimus""",PTV,Oakleigh
1252,BS01ML,Scania K310UB,YS2K4X20001894756,"Volgren ""Optimus""",PTV,Oakleigh
1253,BS01XS,Scania K310UB,9BSK4X20003879236,"Volgren ""Optimus""",PTV,Croydon
1254,BS01XT,Scania K310UB,9BSK4X20003879230,"Volgren ""Optimus""",PTV,West Heidelberg
1255,BS01XU,Scania K310UB,9BSK4X20003879251,"Volgren ""Optimus""",PTV,Knoxfield
